Index,LineLabel,Date,LatD_Beg,LongD_Beg,LatD_End,LongD_End,Length
70,RJ 32,12.dez,-22.34280033,-41.74863717,-22.43307617,-41.6020325,18.0974697
71,RJ 34,12.dez,-22.38735117,-41.79806167,-22.48168933,-41.69210967,15.11010946
72,RJ 35,12.dez,-22.494503,-41.67653633,-22.44012683,-41.844162,18.24248753
73,RJ 36,12.dez,-22.473234,-41.859022,-22.5290845,-41.78187717,10.06170976
74,RJ 37,12.dez,-22.55127767,-41.83093967,-22.50309683,-41.9048965,9.289102306
75,RJ12,13.dez,-21.93950617,-40.74480333,-21.77038367,-41.01573417,33.67392222
76,RJ24,12.dez,-22.17653133,-41.358558,-22.30244467,-41.14780983,25.79963238
77,RJ25,12.dez,-22.33070117,-41.18865017,-22.19566717,-41.41133967,27.37855962
78,RJ26,12.dez,-22.20558583,-41.4604035,-22.34780883,-41.242528,27.41661753
79,RJ27,12.dez,-22.35882667,-41.298418,-22.2276205,-41.51933533,26.99011612
80,RJ28,12.dez,-22.24522633,-41.57281717,-22.37365167,-41.36657583,25.55737
81,RJ29,12.dez,-22.38040383,-41.44002067,-22.2678455,-41.619662,22.30281672
82,RJ33,12.dez,-22.4558025,-41.65313483,-22.38286117,-41.767833,14.30066491
83,RJ39,11.dez,-22.56009,-41.97085,-22.62109,-41.88097333,11.44420082
